Time,Driver,DriverNumber,LapTime,LapNumber,TotalSeconds,TyreLife,Position,SpeedI1,SpeedI2,SpeedFL,SpeedST,Sector1TimeTotal,Sector2TimeTotal,Sector3TimeTotal
0 days 02:00:17.555000,BOT,77,0 days 00:01:28.482000,36.0,88.482,15.0,7.0,,278.0,277.0,294.0,32.602,29.736,26.144
0 days 02:01:45.767000,BOT,77,0 days 00:01:28.212000,37.0,88.212,16.0,7.0,232.0,277.0,277.0,300.0,32.56,29.588,26.064
0 days 02:03:15.158000,BOT,77,0 days 00:01:29.391000,38.0,89.391,17.0,8.0,224.0,278.0,277.0,298.0,33.383,29.887,26.121
0 days 02:04:47.488000,BOT,77,0 days 00:01:32.330000,39.0,92.33,18.0,9.0,227.0,279.0,,293.0,32.943,29.46,29.927
0 days 02:06:38.834000,BOT,77,0 days 00:01:51.346000,40.0,111.346,2.0,13.0,228.0,277.0,275.0,176.0,55.491,29.61,26.245
0 days 02:08:06.809000,BOT,77,0 days 00:01:27.975000,41.0,87.975,3.0,12.0,230.0,278.0,275.0,294.0,32.327,29.482,26.166
0 days 02:09:34.366000,BOT,77,0 days 00:01:27.557000,42.0,87.557,4.0,12.0,,278.0,275.0,289.0,32.545,29.06,25.952
0 days 02:11:01.560000,BOT,77,0 days 00:01:27.194000,43.0,87.194,5.0,12.0,232.0,278.0,276.0,,32.267,29.004,25.923
0 days 02:12:28.988000,BOT,77,0 days 00:01:27.428000,44.0,87.428,6.0,11.0,229.0,278.0,275.0,,32.219,29.064,26.145
0 days 02:13:56.193000,BOT,77,0 days 00:01:27.205000,45.0,87.205,7.0,9.0,232.0,279.0,276.0,292.0,32.283,29.028,25.894
0 days 02:15:23.012000,BOT,77,0 days 00:01:26.819000,46.0,86.819,8.0,9.0,233.0,280.0,276.0,293.0,32.097,28.929,25.793
0 days 02:16:50.152000,BOT,77,0 days 00:01:27.140000,47.0,87.14,9.0,9.0,230.0,278.0,276.0,290.0,32.289,29.099,25.752
0 days 02:18:16.841000,BOT,77,0 days 00:01:26.689000,48.0,86.689,10.0,9.0,232.0,280.0,276.0,295.0,31.833,29.082,25.774
0 days 02:19:43.527000,BOT,77,0 days 00:01:26.686000,49.0,86.686,11.0,9.0,235.0,280.0,276.0,,31.889,28.952,25.845
0 days 02:21:10.640000,BOT,77,0 days 00:01:27.113000,50.0,87.113,12.0,9.0,231.0,279.0,276.0,291.0,32.074,28.976,26.063
0 days 02:22:37.771000,BOT,77,0 days 00:01:27.131000,51.0,87.131,13.0,9.0,233.0,280.0,276.0,295.0,32.202,28.933,25.996
0 days 02:24:04.893000,BOT,77,0 days 00:01:27.122000,52.0,87.122,14.0,9.0,230.0,279.0,277.0,292.0,32.406,28.892,25.824
0 days 02:25:31.798000,BOT,77,0 days 00:01:26.905000,53.0,86.905,15.0,8.0,231.0,279.0,276.0,293.0,31.877,29.104,25.924
0 days 02:26:58.450000,BOT,77,0 days 00:01:26.652000,54.0,86.652,16.0,8.0,235.0,280.0,277.0,295.0,31.925,29.035,25.692
0 days 02:28:25.379000,BOT,77,0 days 00:01:26.929000,55.0,86.929,17.0,8.0,234.0,280.0,276.0,296.0,31.919,29.122,25.888
0 days 02:29:52.687000,BOT,77,0 days 00:01:27.308000,56.0,87.308,18.0,8.0,232.0,279.0,276.0,294.0,31.991,29.299,26.018
0 days 02:31:19.790000,BOT,77,0 days 00:01:27.103000,57.0,87.103,19.0,8.0,235.0,280.0,278.0,298.0,32.131,29.012,25.96
0 days 01:04:46.014000,ZHO,24,0 days 00:02:11.955000,1.0,131.955,1.0,16.0,193.0,71.0,234.0,270.0,,39.914,50.147
0 days 01:07:09.978000,ZHO,24,0 days 00:02:23.964000,2.0,143.964,2.0,16.0,191.0,132.0,140.0,223.0,50.087,46.699,47.178
0 days 01:09:29.674000,ZHO,24,0 days 00:02:19.696000,3.0,139.696,3.0,13.0,93.0,140.0,237.0,220.0,54.733,44.1,40.863
0 days 01:11:52.686000,ZHO,24,0 days 00:02:23.012000,4.0,143.012,4.0,12.0,159.0,73.0,277.0,227.0,46.471,46.754,49.787
0 days 01:13:26.097000,ZHO,24,0 days 00:01:33.411000,5.0,93.411,5.0,12.0,217.0,279.0,274.0,306.0,34.67,31.371,27.37
0 days 01:14:58.706000,ZHO,24,0 days 00:01:32.609000,6.0,92.609,6.0,12.0,224.0,281.0,276.0,302.0,33.984,31.127,27.498
0 days 01:16:29.949000,ZHO,24,0 days 00:01:31.243000,7.0,91.243,7.0,12.0,222.0,279.0,282.0,296.0,33.809,30.58,26.854
0 days 01:18:01.381000,ZHO,24,0 days 00:01:31.432000,8.0,91.432,8.0,13.0,227.0,280.0,283.0,326.0,33.309,31.303,26.82
0 days 01:19:32.453000,ZHO,24,0 days 00:01:31.072000,9.0,91.072,9.0,12.0,225.0,281.0,282.0,329.0,33.421,30.761,26.89
0 days 01:21:03.883000,ZHO,24,0 days 00:01:31.430000,10.0,91.43,10.0,12.0,222.0,275.0,281.0,328.0,33.595,30.872,26.963
0 days 01:22:34.810000,ZHO,24,0 days 00:01:30.927000,11.0,90.927,11.0,11.0,224.0,279.0,282.0,326.0,33.359,30.611,26.957
0 days 01:24:05.632000,ZHO,24,0 days 00:01:30.822000,12.0,90.822,12.0,9.0,223.0,279.0,282.0,321.0,33.616,30.472,26.734
0 days 01:25:36.238000,ZHO,24,0 days 00:01:30.606000,13.0,90.606,13.0,5.0,,272.0,281.0,326.0,33.458,30.526,26.622
0 days 01:27:06.438000,ZHO,24,0 days 00:01:30.200000,14.0,90.2,14.0,4.0,221.0,267.0,274.0,321.0,33.361,30.46,26.379
0 days 01:28:37.603000,ZHO,24,0 days 00:01:31.165000,15.0,91.165,15.0,4.0,218.0,273.0,275.0,299.0,34.237,30.42,26.508
0 days 01:30:07.505000,ZHO,24,0 days 00:01:29.902000,16.0,89.902,16.0,4.0,220.0,278.0,273.0,302.0,33.29,30.073,26.539
0 days 01:31:37.416000,ZHO,24,0 days 00:01:29.911000,17.0,89.911,17.0,4.0,222.0,278.0,272.0,291.0,33.38,30.074,26.457
0 days 01:33:11.533000,ZHO,24,0 days 00:01:34.117000,18.0,94.117,18.0,4.0,221.0,278.0,,294.0,33.288,30.08,30.749
0 days 01:35:04.264000,ZHO,24,0 days 00:01:52.731000,19.0,112.731,1.0,17.0,229.0,276.0,275.0,169.0,56.448,30.172,26.111
